Date,Open
2-5-2018,262
2-6-2018,247.699997
2-7-2018,266.579987
2-8-2018,267.079987
2-9-2018,253.850006
2-12-2018,252.139999
2-13-2018,257.290009
2-14-2018,260.470001
2-15-2018,270.029999
2-16-2018,278.730011
2-20-2018,277.73999
2-21-2018,282.070007
2-22-2018,283.880005
2-23-2018,281
2-26-2018,288.75
2-27-2018,294.769989
2-28-2018,293.100006
3-1-2018,292.75
3-2-2018,284.649994
3-5-2018,302.850006
3-6-2018,319.880005
3-7-2018,320
3-8-2018,322.200012
3-9-2018,321.329987
3-12-2018,333.559998
3-13-2018,323.869995
3-14-2018,318.160004
3-15-2018,323.170013
3-16-2018,321.420013
3-19-2018,315.799988
3-20-2018,313.26001
3-21-2018,316.350006
3-22-2018,313.070007
3-23-2018,307.410004
3-26-2018,309.359985
3-27-2018,322.48999
3-28-2018,298.390015
3-29-2018,287
4-2-2018,291.940002
4-3-2018,285.450012
4-4-2018,273.630005
4-5-2018,293.149994
4-6-2018,289.100006
4-9-2018,291.769989
4-10-2018,297.679993
4-11-2018,302.880005
4-12-2018,309.720001
4-13-2018,317.290009
4-16-2018,315.98999
4-17-2018,329.660004
4-18-2018,336.299988
4-19-2018,332.880005
4-20-2018,332.220001
4-23-2018,329.149994
4-24-2018,319.220001
4-25-2018,306.369995
4-26-2018,310
4-27-2018,316.25
4-30-2018,311.070007
5-1-2018,310.359985
5-2-2018,311.649994
5-3-2018,312.589996
5-4-2018,308.709991
5-7-2018,321.98999
5-8-2018,325.899994
5-9-2018,328.790009
5-10-2018,331.5
5-11-2018,329.649994
5-14-2018,327.25
5-15-2018,325.940002
5-16-2018,326.279999
5-17-2018,327.529999
5-18-2018,324.899994
5-21-2018,327.109985
5-22-2018,334.049988
5-23-2018,329.040009
5-24-2018,344.339996
5-25-2018,349.899994
5-29-2018,351.5
5-30-2018,352.369995
5-31-2018,353.799988
6-1-2018,353.880005
6-4-2018,362.679993
6-5-2018,363.320007
6-6-2018,367.779999
6-7-2018,368.540009
6-8-2018,358.059998
6-11-2018,361.880005
6-12-2018,363.600006
6-13-2018,367.529999
6-14-2018,384.269989
6-15-2018,390.709991
6-18-2018,387.720001
6-19-2018,389.5
6-20-2018,415.149994
6-21-2018,421.380005
6-22-2018,419.980011
6-25-2018,404.690002
6-26-2018,393.279999
6-27-2018,407.559998
6-28-2018,395
6-29-2018,399.190002
7-2-2018,385.450012
7-3-2018,399.48999
7-5-2018,393.799988
7-6-2018,397.450012
7-9-2018,415.950012
7-10-2018,417.23999
7-11-2018,411.339996
7-12-2018,415.160004
7-13-2018,409.190002
7-16-2018,398.980011
7-17-2018,346.950012
7-18-2018,381.23999
7-19-2018,371.059998
7-20-2018,364.920013
7-23-2018,359.149994
7-24-2018,366.940002
7-25-2018,357.570007
7-26-2018,358.190002
7-27-2018,366.850006
7-30-2018,351.929993
7-31-2018,331.51001
8-1-2018,335.869995
